hometeam,awayteam,date,season,round,gf,ga,h_form_gf,h_form_ga,h_form_xg,h_form_xga,h_form_standard sot,h_form_kp,h_form_xa,h_form_poss_x,h_form_touches att pen,h_form_carries prgdist,h_form_progressive passing dist,h_form_tackles tklw,h_form_challenges tkl%,h_form_saves,a_form_gf,a_form_ga,a_form_xg,a_form_xga,a_form_standard sot,a_form_kp,a_form_xa,a_form_poss_x,a_form_touches att pen,a_form_carries prgdist,a_form_progressive passing dist,a_form_tackles tklw,a_form_challenges tkl%,a_form_saves,b365h,b365d,b365a,result_A,result_D,result_H,h_strength_overall_home,h_overall_rating,h_attack_rating,h_midfield_rating,h_defence_rating,h_avg_age,a_strength_overall_away,a_overall_rating,a_attack_rating,a_midfield_rating,a_defence_rating,a_avg_age,soh,soa
CRY,SOU,2020-09-12,2020-2021,1,1.0,0.0,0.1111111111111111,0.0,0.1571428571428571,0.1285714285714285,0.1875,0.1666666666666666,0.1081081081081081,0.203125,0.1473684210526315,0.1087984862819299,0.2117743254292723,0.3333333333333333,0.455,0.3846153846153846,0.0,0.1111111111111111,0.1285714285714285,0.1571428571428571,0.3125,0.2,0.1891891891891892,0.796875,0.2210526315789473,0.4971617786187322,0.5669119651131098,0.6666666666666666,0.3329999999999999,0.1538461538461538,0.1137123745819397,0.0441176470588235,0.0441493180186647,False,False,True,0.2535211267605635,0.25,0.3333333333333335,0.25,0.2666666666666666,0.9009628610729026,0.2028985507246377,0.25,0.3333333333333335,0.375,0.33333333333333304,0.5625859697386519,0.3535181163860036,0.34901562620319493
FUL,ARS,2020-09-12,2020-2021,1,0.0,3.0,0.0,0.3333333333333333,0.0142857142857142,0.2714285714285714,0.125,0.1,0.027027027027027,0.4375,0.031578947368421,0.260643330179754,0.4938675388389206,0.2592592592592592,0.3329999999999999,0.1538461538461538,0.3333333333333333,0.0,0.2714285714285714,0.0142857142857142,0.3125,0.2666666666666666,0.2432432432432432,0.5625,0.2736842105263158,0.5387890255439924,0.4900517852275824,0.1851851851851851,0.5,0.1538461538461538,0.2753623188405796,0.15,0.0139985642498205,True,False,False,0.2535211267605635,0.16666666666666696,0.16666666666666652,0.25,0.20000000000000018,0.3370013755158183,0.63768115942029,0.583333333333333,0.6666666666666665,0.5,0.5333333333333332,0.37551581843191206,0.3535181163860036,0.4916164949276871
LIV,LEE,2020-09-12,2020-2021,1,4.0,3.0,0.4444444444444444,0.3333333333333333,0.3857142857142857,0.0428571428571428,0.25,0.4666666666666667,0.2972972972972973,0.484375,0.4631578947368421,0.4285714285714286,0.4535295720904878,0.3703703703703703,0.308,0.0,0.3333333333333333,0.4444444444444444,0.0428571428571428,0.3857142857142857,0.1875,0.1,0.081081081081081,0.515625,0.1368421052631579,0.3131504257332071,0.4210956663941128,0.7407407407407407,0.406,0.1538461538461538,0.0122630992196209,0.3137254901960785,0.3000717875089734,False,False,True,0.704225352112676,1.0,0.8333333333333335,0.75,0.5999999999999996,0.5378266850068774,0.4057971014492754,0.25,0.38888888888888884,0.3125,0.2666666666666666,0.4250343878954608,0.5142223222159504,0.41556269827462455
WHU,NEW,2020-09-12,2020-2021,1,0.0,2.0,0.0,0.2222222222222222,0.1428571428571428,0.2285714285714285,0.1875,0.3666666666666666,0.2702702702702703,0.625,0.2842105263157894,0.5052034058656575,0.4121013900245298,0.074074074074074,0.4,0.0,0.2222222222222222,0.0,0.2285714285714285,0.1428571428571428,0.125,0.4333333333333333,0.1891891891891892,0.375,0.2526315789473684,0.3174077578051088,0.3627691469065139,0.3703703703703703,0.5,0.2307692307692307,0.0607580824972129,0.0588235294117647,0.0811198851399856,True,False,False,0.647887323943662,0.41666666666666696,0.4444444444444442,0.5,0.39999999999999947,0.7881705639614855,0.11594202898550732,0.25,0.3333333333333335,0.25,0.20000000000000018,0.675378266850069,0.49413429648720697,0.32049545245829636
TOT,EVE,2020-09-13,2020-2021,1,0.0,1.0,0.0,0.1111111111111111,0.1571428571428571,0.1714285714285714,0.3125,0.3,0.1891891891891892,0.53125,0.1999999999999999,0.412961210974456,0.5249386753883892,0.1481481481481481,0.1,0.2307692307692307,0.1111111111111111,0.0,0.1714285714285714,0.1571428571428571,0.25,0.4333333333333333,0.1081081081081081,0.46875,0.1894736842105263,0.359035004730369,0.4360861270100844,0.3333333333333333,0.375,0.3846153846153846,0.0429208472686733,0.0784313725490196,0.1145010768126346,True,False,False,0.5352112676056335,0.75,0.9999999999999996,0.6875,0.666666666666667,0.6629986244841817,0.28985507246376807,0.5,0.5555555555555558,0.5,0.5999999999999996,0.6629986244841817,0.45395824502972026,0.3775357999480933
WBA,LEI,2020-09-13,2020-2021,1,0.0,3.0,0.0,0.3333333333333333,0.0571428571428571,0.3999999999999999,0.0625,0.1333333333333333,0.081081081081081,0.28125,0.0947368421052631,0.1527909176915799,0.3932951757972199,0.1851851851851851,0.25,0.3076923076923077,0.3333333333333333,0.0,0.3999999999999999,0.0571428571428571,0.3125,0.1666666666666666,0.1891891891891892,0.71875,0.2210526315789473,0.5009460737937559,0.4682474788770782,0.3703703703703703,0.75,0.0769230769230769,0.15273132664437,0.0784313725490196,0.0290739411342426,True,False,False,0.14084507042253502,0.0,0.16666666666666652,0.1875,0.06666666666666643,0.5006877579092159,0.666666666666667,0.583333333333333,0.5000000000000004,0.625,0.5333333333333332,0.5130674002751032,0.3133420649285169,0.50112321950932
BHA,CHE,2020-09-14,2020-2021,1,1.0,3.0,0.1111111111111111,0.3333333333333333,0.1571428571428571,0.1714285714285714,0.1875,0.3333333333333333,0.2162162162162162,0.53125,0.1473684210526315,0.3533585619678335,0.4660670482420278,0.4074074074074074,0.583,0.1538461538461538,0.3333333333333333,0.1111111111111111,0.1714285714285714,0.1571428571428571,0.25,0.3,0.1081081081081081,0.46875,0.1894736842105263,0.2866603595080416,0.4685200327064595,0.3333333333333333,0.5,0.1538461538461538,0.2196209587513934,0.15,0.016870064608758,True,False,False,0.3661971830985915,0.16666666666666696,0.22222222222222188,0.3125,0.33333333333333304,0.5006877579092159,0.7246376811594204,0.75,0.6111111111111112,0.8125,0.7333333333333334,0.5502063273727646,0.3936941678434903,0.5201366686725857
SHU,WOL,2020-09-14,2020-2021,1,0.0,2.0,0.0,0.2222222222222222,0.1428571428571428,0.1999999999999999,0.0625,0.2666666666666666,0.2702702702702703,0.578125,0.2947368421052631,0.2322611163670766,0.4791496320523303,0.3333333333333333,0.364,0.1538461538461538,0.2222222222222222,0.0,0.1999999999999999,0.1428571428571428,0.25,0.2666666666666666,0.054054054054054,0.421875,0.1263157894736842,0.2965941343424787,0.4578904333605886,0.2962962962962963,0.538,0.0769230769230769,0.1220735785953177,0.0294117647058823,0.0441493180186647,True,False,False,0.0,0.0,0.0,0.1875,0.13333333333333286,0.6382393397524071,0.23188405797101463,0.5,0.3333333333333335,0.625,0.4666666666666668,0.4745529573590095,0.26312200060665847,0.35852235078482764
ARS,WHU,2020-09-19,2020-2021,2,2.0,1.0,0.2222222222222222,0.1111111111111111,0.1571428571428571,0.2857142857142857,0.1875,0.2,0.4054054054054054,0.6875,0.2947368421052631,0.6296121097445601,0.4982284001090215,0.1851851851851851,0.545,0.0769230769230769,0.1111111111111111,0.2222222222222222,0.2857142857142857,0.1571428571428571,0.125,0.3,0.1891891891891892,0.3125,0.1999999999999999,0.293282876064333,0.3074407195421095,0.1851851851851851,0.3329999999999999,0.0769230769230769,0.0261984392419174,0.1666666666666666,0.1564967695620962,False,False,True,0.563380281690141,0.583333333333333,0.6666666666666665,0.5,0.5333333333333332,0.37551581843191206,0.666666666666667,0.41666666666666696,0.4444444444444442,0.5,0.39999999999999947,0.7881705639614855,0.37854277443758566,0.4337642731586189
EVE,WBA,2020-09-19,2020-2021,2,5.0,2.0,0.5555555555555556,0.2222222222222222,0.557142857142857,0.0428571428571428,0.4375,0.4,0.4594594594594595,0.828125,0.3894736842105263,0.718070009460738,0.7258108476424093,0.4814814814814814,0.583,0.1538461538461538,0.2222222222222222,0.5555555555555556,0.0428571428571428,0.557142857142857,0.25,0.1333333333333333,0.027027027027027,0.171875,0.1473684210526315,0.1561021759697256,0.2611065685472881,0.2222222222222222,0.533,0.1538461538461538,0.0245261984392419,0.1372549019607843,0.1923905240488155,False,False,True,0.704225352112676,0.5,0.5555555555555558,0.5,0.5999999999999996,0.6629986244841817,0.02898550724637694,0.0,0.16666666666666652,0.1875,0.06666666666666643,0.5006877579092159,0.4833620926901684,0.2849982935429377
